station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,travel_time_source,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_latest_orig,poverty_slope_orig,nearest_station_complex_id,poverty_source,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag
421,"Gun Hill Rd (2,5)",Bronx,4025.566219,8.300669237,False,41.67,0,0.6666662222225186,8.370547611074752,10.659257357575182,1.884976077,1.098612289,1.833057679939378,2.772588722239781,47.75,49.12,2.0,observed_gtfs,3.886705197443856,0,36.7,0.312237762,4425.063325,-38.26092507,,,,line_fill,1,0,0,0,1
422,"Burke Av (2,5)",Bronx,1720.819908,7.451137097,False,41.33,0,0.6666662222225186,7.622174594817622,10.708645586157768,1.972000692,0.693147181,1.754356944913893,2.3978952727983707,46.25,47.62,2.0,observed_gtfs,3.855452653939752,0,36.7,0.312237762,4631.601066,338.9217398,,,,line_fill,1,0,0,0,1
424,"Pelham Pkwy (2,5)",Bronx,5333.610728,8.581971195,False,42.67,0,0.6666662222225186,8.204945165019208,10.721437517010912,1.552487721,1.945910149,2.042427327675877,2.8903717578961645,42.25,43.88,2.0,observed_gtfs,3.766997233377889,0,36.7,0.312237762,5192.048093,-108.5449102,,,,line_fill,1,0,0,0,1
425,"Bronx Park East (2,5)",Bronx,1506.366534,7.31811939,False,42.67,0,0.6666662222225186,8.210668031162976,10.377576575186112,1.908385811,1.386294361,1.8886671441754588,2.772588722239781,39.0,41.0,2.0,observed_gtfs,3.688879454113936,0,36.7,0.312237762,2018.62586,3.514872968,,,,line_fill,1,0,0,0,1
426,"E 180 St (2,5)",Bronx,5687.194364,8.646148142,False,79.33,0,0.999999000001,8.096208271650037,10.501746964063756,2.129864101,1.386294361,1.93079619579924,2.772588722239781,35.5,38.0,2.0,observed_gtfs,3.597312260588446,0,36.7,0.312237762,1335.430215,-9.022582292,,,,line_fill,1,0,0,0,1
427,"West Farms Sq-E Tremont Av (2,5)",Bronx,3228.187954,8.079985977,False,65.0,0,0.999999000001,8.307705966549513,10.69901079971294,1.995208127,0.693147181,1.9613430490064945,2.9444389791664403,38.5,38.5,1.0,observed_gtfs,3.676300671907076,0,36.7,0.312237762,3926.717724,29.84687851,,,,line_fill,1,0,0,0,1
428,"174 St (2,5)",Bronx,3595.812651,8.187803358,False,65.0,0,0.999999000001,8.342363500380579,10.60475170119802,1.859549481,0.0,2.032305120641875,2.772588722239781,36.5,36.5,1.0,observed_gtfs,3.624340932976365,0,36.7,0.312237762,4718.389966,22.58400956,,,,line_fill,1,0,0,0,1
429,"Freeman St (2,5)",Bronx,2699.229136,7.901091914,False,65.0,0,0.999999000001,8.48714627006394,10.881832472145556,1.999037251,0.693147181,2.3295598564715725,2.70805020110221,33.5,33.5,1.0,observed_gtfs,3.5409593240373143,0,36.7,0.312237762,5397.202676,65.222048,,,,line_fill,1,0,0,0,1
430,"Simpson St (2,5)",Bronx,4497.658261,8.411534467,False,65.33,0,0.999999000001,8.14351740579748,10.93663644805993,2.173529145,1.791759469,2.223079912185389,2.5649493574615367,31.5,31.5,1.0,observed_gtfs,3.481240089335692,0,36.7,0.312237762,4596.127017,66.31425123,,,,line_fill,1,0,0,0,1
431,"Intervale Av (2,5)",Bronx,1852.235426,7.524688269,False,65.67,0,0.999999000001,8.21716859576607,11.061578708855764,2.02871156,2.302585093,2.5422322192400046,2.772588722239781,30.0,30.0,1.0,observed_gtfs,3.4339872044851463,0,36.7,0.312237762,5996.271524,107.9481897,,,,line_fill,1,0,0,0,1
