station_complex_id,station_complex_name,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,poverty_source_nearest_gtfs,poverty_source_observed,travel_time_source_nearest_station_complex_id,travel_time_source_observed_gtfs
603,"149 St-Grand Concourse (2,4,5)",6980.165518,8.850971161,0,45.33,0.999999,8.884610232,10.55458803,2.187884226,2.564949357,2.414470503,3.091042453,21,21.25,3,3.091042453,0,36.7,0.312237762,907.1139353,20.73267257,1,0,0,1,0,0,0,0,0,1,0,0,1
604,"161 St-Yankee Stadium (4,B,D)",17504.653,9.770279136,0,42.67,0.666666222,8.554296279,10.97635459,2.172833531,1.791759469,2.228629972,2.995732274,24.25,25.62,2,3.228826156,0,19.24683864,-0.422377419,2167.307645,111.1041152,1,0,0,1,0,0,0,0,0,1,0,0,1
100,"Hewes St (M,J)",1945.423803,7.57374902,0,60,0.999999,9.182043773,11.2505342,1.91344391,2.63905733,3.165981644,2.890371758,20,20,1,3.044522438,0,22.0978115,-2.47433802,5009.700713,-31.56576864,0,0,0,0,0,1,0,0,0,0,1,0,1
141,Park Pl (S),1146.151851,7.045037498,0,36,0.39999984,7.612336837,11.00895959,1.89618407,3.044522438,1.871455532,2.63905733,,,,0,1,14.26926425,-0.682505874,5268.157017,-20.51049939,0,0,0,0,0,1,0,0,0,0,1,0,1
173,"High St (A,C)",6920.523403,8.842391169,0,73.67,0.999999,9.489637388,10.58096256,2.064518912,4.007333185,2.562230731,2.772588722,17,18.25,2,2.890371758,0,5.375620284,-1.769193912,3596.472793,61.74085089,0,0,0,0,0,1,0,0,0,0,1,0,1
175,"Hoyt-Schermerhorn Sts (A,C,G)",8667.331217,9.067431573,0,109,1.999996,9.591034531,10.94183661,1.950456144,3.80666249,2.52267033,2.833213344,19.5,21,3,3.020424886,0,10.56594821,0.222502395,4915.24318,256.0755268,0,0,0,0,0,1,0,0,0,0,1,0,1
176,Lafayette Av (C),3960.780479,8.284448819,0,30.67,0.666666222,8.79996322,10.81263282,1.924250365,4.262679877,2.280289152,2.890371758,25.5,25.5,1,3.277144733,0,12.4860756,0.161080707,4718.171791,86.47956011,0,0,0,0,0,1,0,0,0,0,1,0,1
177,Clinton-Washington Avs (C),5434.62367,8.600729544,0,30.33,0.666666222,8.105911198,10.84937592,1.963856918,4.094344562,2.168343077,2.944438979,27.5,27.5,1,3.349904087,0,5.920445254,-0.374882893,4914.781784,131.9734817,0,0,0,0,0,1,0,0,0,0,1,0,1
179,"Nostrand Av (A,C)",12318.265,9.418919576,0,72.33,0.999999,7.920083199,10.9925376,1.756511572,3.218875825,1.86269522,2.708050201,26.5,28.5,2,3.314186005,0,14.88602531,-0.683744774,3294.550739,-12.23788013,0,0,0,0,0,1,0,0,0,0,1,0,1
180,Kingston-Throop Avs (C),4734.070513,8.462751897,0,30.67,0.49999975,8.105307516,11.00019803,1.941202646,2.833213344,1.705054895,2.772588722,32,32,1,3.496507561,0,14.92361612,-0.612986847,4297.271874,91.5560424,0,0,0,0,0,1,0,0,0,0,1,0,1
181,"Utica Av (A,C)",9306.330672,9.138557613,0,72.33,0.999999,8.048149102,10.92847124,1.722076557,2.564949357,1.569824023,2.833213344,29.5,31.75,2,3.417726684,0,22.51525887,-1.455054008,3465.678067,83.15658621,0,0,0,0,0,1,0,0,0,0,1,0,1
182,Ralph Av (C),3429.85075,8.140563541,0,30.67,0.49999975,7.655390645,10.97031673,1.729268315,2.48490665,1.5410691,2.944438979,36,36,1,3.610917913,0,28.89044015,-0.331596219,3460.566061,58.35152193,0,0,0,0,0,1,0,0,0,0,1,0,1
183,Rockaway Av (C),3677.054366,8.210139187,0,30,0.49999975,7.370860167,10.88106151,1.706440416,1.386294361,1.776168051,2.833213344,37.5,37.5,1,3.650658241,0,21.46148726,-0.46360952,3872.803498,49.42983106,0,0,0,0,0,1,0,0,0,0,1,0,1
185,Liberty Av (C),1682.952165,7.428898789,0,30.33,0.49999975,7.278628942,10.31834178,2.21688217,1.791759469,1.47653196,2.397895273,41.5,41.5,1,3.749504076,0,36.03762011,-0.592808032,1838.123973,54.72255755,0,0,0,0,0,1,0,0,0,0,1,0,1
186,Van Siclen Av (C),1788.456338,7.489667131,0,30.33,0.49999975,7.049254841,10.63681652,1.906255828,1.791759469,1.48973803,2.63905733,43,43,1,3.784189634,0,14.14117379,-2.031955077,3215.895988,18.01708633,0,0,0,0,0,1,0,0,0,0,1,0,1
187,Shepherd Av (C),1829.998065,7.512616488,0,29.67,0.666666222,7.560601163,10.76563884,1.703647598,1.098612289,1.700855218,2.564949357,45,45,1,3.828641396,0,19.39587225,-1.796642505,3781.550149,43.7786416,0,0,0,0,0,1,0,0,0,0,1,0,1
188,"Euclid Av (A,C)",7029.331035,8.857989073,0,72.33,0.999999,7.45007957,10.88902446,1.792982036,1.098612289,1.798526636,2.302585093,38.5,42.75,2,3.676300672,0,19.84835363,-0.683564242,3930.921563,80.39913823,0,0,0,0,0,1,0,0,0,0,1,0,1
189,Grant Av (A),3866.183358,8.260281706,0,43.33,0.999999,7.290292882,10.79607968,1.567604977,0.693147181,1.758671225,2.397895273,41.5,41.5,1,3.749504076,0,10.66277032,-2.416884533,3155.850744,4.848196271,0,0,0,0,0,1,0,0,0,0,1,0,1
240,"7 Av (F,G)",8977.216316,9.102556513,0,77,0.999999,8.524168805,10.81225002,1.553368212,3.135494216,2.24373688,2.302585093,28.5,29.25,2,3.384390263,0,4.69561357,-0.093767192,4646.701258,-13.87106057,0,0,0,0,0,1,0,0,0,0,1,0,1
26,"DeKalb Av (B,Q,R)",15352.07039,9.639070759,0,92.67,1.999996,9.576371411,10.91275848,1.975846846,3.713572067,2.481513859,2.833213344,16,22,4,2.833213344,0,9.254181587,-0.499754779,5435.304007,537.8195092,0,0,0,0,0,1,0,0,0,0,1,0,1
28,Union St (R),5532.907112,8.618649375,0,38.33,0.666666222,8.331345425,10.78286531,2.084870218,3.433987204,2.308074081,2.708050201,34,34,2,3.555348061,0,6.58535853,-0.149939531,2830.518427,28.27123471,0,0,0,0,0,1,0,0,0,0,1,0,1
283,Greenpoint Av (G),7495.129898,8.922142153,0,35.33,0.666666222,8.86418137,10.15743185,2.008244233,2.48490665,2.299048631,1.945910149,4,4,1,1.609437912,0,8.632908952,-0.342971849,4557.396745,70.13184291,0,0,0,0,0,1,0,0,0,0,1,0,1
284,Nassau Av (G),6954.974233,8.847356171,0,36,0.666666222,9.111514018,10.43013731,2.067945223,2.63905733,2.235779974,2.079441542,5.25,5.25,1,1.832581464,0,5.801746345,-0.500175355,3186.128666,39.89314461,0,0,0,0,0,1,0,0,0,0,1,0,1
