station_complex_id,pop_latest,pop_slope,pop_growth_ratio,pop_first_year,pop_last_year,n_years
360,2440.39756,96.27228832,1.563972829,2013,2024,12
361,3421.869384,5.460068009,1.066074399,2013,2024,12
362,2508.732117,4.040769651,1.224765546,2013,2024,12
363,2378.32528,182.9423336,2.339042144,2013,2024,12
364,1917.513765,3.767943904,0.974245072,2013,2024,12
365,3084.190138,-33.89987014,0.829832145,2013,2024,12
366,5175.332989,-86.84485563,0.832739746,2013,2024,12
367,4811.362051,-41.33689796,0.923555125,2013,2024,12
368,6288.363452,-56.42527075,1.064148556,2013,2024,12
369,7755.707744,-10.28264334,0.993931902,2013,2024,12
370,2527.709448,-32.50629321,0.880735615,2013,2024,12
371,4240.680798,-18.76728491,0.923459975,2013,2024,12
372,3922.118078,-71.2368438,0.889066886,2013,2024,12
373,6082.538354,115.2531661,1.374990089,2013,2024,12
374,2140.681773,58.48908024,1.525254802,2013,2024,12
375,4839.611616,-21.69051187,0.9550447,2013,2024,12
376,7101.817796,62.02788588,1.03379436,2013,2024,12
377,5343.245746,33.54440725,1.060309239,2013,2024,12
378,2401.232349,121.673772,1.347585726,2020,2024,5
379,3158.579004,8.857480182,1.073282189,2013,2024,12
380,3161.788236,106.2519055,1.296273687,2013,2024,12
381,4519.505445,-138.2777243,0.86164868,2013,2024,12
382,9316.401497,168.9114772,1.229700682,2013,2024,12
383,8877.445857,-58.98369737,0.909911718,2013,2024,12
384,7188.530384,-12.67158624,0.957825478,2013,2024,12
385,6976.015589,-72.67601406,0.887650501,2013,2024,12
386,5754.092414,14.9709077,0.932922738,2013,2024,12
387,5855.820432,-83.79934833,0.852611022,2013,2024,12
388,6320.73834,-18.39330532,0.881689386,2013,2024,12
391,1681.560354,57.91650391,2.19922275,2013,2024,12
392,3754.052617,16.84627769,0.971884456,2013,2024,12
393,7811.325851,134.3845681,1.341294651,2013,2024,12
394,6526.742285,-102.4006136,0.89222844,2013,2024,12
395,6490.178292,-185.2014786,0.876294607,2013,2024,12
396,10375.11441,-79.31502569,1.026397777,2013,2024,12
397,10098.04007,-111.7004622,0.971861158,2013,2024,12
398,5921.975856,-60.33276985,0.880940529,2013,2024,12
399,4724.850774,15.61207377,1.012838822,2013,2024,12
403,6194.18972,69.09902346,1.016224356,2013,2024,12
404,5012.902949,83.09850834,0.970626428,2013,2024,12
