stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,station_complex_id,complex_stop_name,complex_display_name,constituent_station_names,station_ids,borough,cbd,daytime_routes,structure_type,complex_latitude,complex_longitude,ada,ada_notes,is_ibx,station_complex_name,station_complex_lat,station_complex_lon
416S,138 St-Grand Concourse,40.813224,-73.929849,0,416,,,,,,,,,,,,,,False,138 St-Grand Concourse,,
418,Fulton St,40.710368,-74.009509,1,,628.0,Fulton St,"Fulton St (2,3,4,5,A,C,J,Z)",Fulton St,106; 172; 332; 412,M,True,2 3 4 5 A C J Z,Subway,40.71008875,-74.00783825,1.0,,False,"Fulton St (2,3,4,5,A,C,J,Z)",40.71008875,-74.00783825
418N,Fulton St,40.710368,-74.009509,0,418,,,,,,,,,,,,,,False,Fulton St,,
418S,Fulton St,40.710368,-74.009509,0,418,,,,,,,,,,,,,,False,Fulton St,,
419,Wall St,40.707557,-74.011862,1,,413.0,Wall St,"Wall St (4,5)",Wall St,413,M,True,4 5,Subway,40.707557,-74.011862,0.0,,False,"Wall St (4,5)",40.707557,-74.011862
419N,Wall St,40.707557,-74.011862,0,419,,,,,,,,,,,,,,False,Wall St,,
419S,Wall St,40.707557,-74.011862,0,419,,,,,,,,,,,,,,False,Wall St,,
420,Bowling Green,40.704817,-74.014065,1,,414.0,Bowling Green,"Bowling Green (4,5)",Bowling Green,414,M,True,4 5,Subway,40.704817,-74.014065,1.0,,False,"Bowling Green (4,5)",40.704817,-74.014065
420N,Bowling Green,40.704817,-74.014065,0,420,,,,,,,,,,,,,,False,Bowling Green,,
420S,Bowling Green,40.704817,-74.014065,0,420,,,,,,,,,,,,,,False,Bowling Green,,
423,Borough Hall,40.692404,-73.990151,1,,620.0,Borough Hall/Court St,"Borough Hall/Court St (2,3,4,5,R)",Borough Hall; Court St,24; 335; 415,Bk,False,2 3 4 5 R,Subway,40.693241,-73.990642,2.0,R not accessible; 2 3 accessible; 4 5 Manhattan-bound only,False,"Borough Hall/Court St (2,3,4,5,R)",40.693241,-73.990642
423N,Borough Hall,40.692404,-73.990151,0,423,,,,,,,,,,,,,,False,Borough Hall,,
423S,Borough Hall,40.692404,-73.990151,0,423,,,,,,,,,,,,,,False,Borough Hall,,
501,Eastchester-Dyre Av,40.8883,-73.830834,1,,442.0,Eastchester-Dyre Av,Eastchester-Dyre Av (5),Eastchester-Dyre Av,442,Bx,False,5,At Grade,40.8883,-73.830834,0.0,,False,Eastchester-Dyre Av (5),40.8883,-73.830834
501N,Eastchester-Dyre Av,40.8883,-73.830834,0,501,,,,,,,,,,,,,,False,Eastchester-Dyre Av,,
501S,Eastchester-Dyre Av,40.8883,-73.830834,0,501,,,,,,,,,,,,,,False,Eastchester-Dyre Av,,
502,Baychester Av,40.878663,-73.838591,1,,443.0,Baychester Av,Baychester Av (5),Baychester Av,443,Bx,False,5,Open Cut,40.878663,-73.838591,0.0,,False,Baychester Av (5),40.878663,-73.838591
502N,Baychester Av,40.878663,-73.838591,0,502,,,,,,,,,,,,,,False,Baychester Av,,
502S,Baychester Av,40.878663,-73.838591,0,502,,,,,,,,,,,,,,False,Baychester Av,,
503,Gun Hill Rd,40.869526,-73.846384,1,,444.0,Gun Hill Rd,Gun Hill Rd (5),Gun Hill Rd,444,Bx,False,5,Open Cut,40.869526,-73.846384,1.0,,False,Gun Hill Rd (5),40.869526,-73.846384
503N,Gun Hill Rd,40.869526,-73.846384,0,503,,,,,,,,,,,,,,False,Gun Hill Rd,,
503S,Gun Hill Rd,40.869526,-73.846384,0,503,,,,,,,,,,,,,,False,Gun Hill Rd,,
