YEAR,GEO_ID,NAME,S1701_C03_001E
2013,1400000US36047032100,"Census Tract 321, Kings County, New York",19.8
2013,1400000US36047032300,"Census Tract 323, Kings County, New York",19.5
2013,1400000US36047032500,"Census Tract 325, Kings County, New York",34.2
2013,1400000US36047032600,"Census Tract 326, Kings County, New York",42.8
2013,1400000US36047032700,"Census Tract 327, Kings County, New York",23.2
2013,1400000US36047032800,"Census Tract 328, Kings County, New York",34.4
2013,1400000US36047032900,"Census Tract 329, Kings County, New York",19
2013,1400000US36047033000,"Census Tract 330, Kings County, New York",38.6
2013,1400000US36047033100,"Census Tract 331, Kings County, New York",19.4
2013,1400000US36047033300,"Census Tract 333, Kings County, New York",20.3
2013,1400000US36047033500,"Census Tract 335, Kings County, New York",19.8
2013,1400000US36047033600,"Census Tract 336, Kings County, New York",13.9
2013,1400000US36047033700,"Census Tract 337, Kings County, New York",14.5
2013,1400000US36047033900,"Census Tract 339, Kings County, New York",25.7
2013,1400000US36047034000,"Census Tract 340, Kings County, New York",46.2
2013,1400000US36047034100,"Census Tract 341, Kings County, New York",11.9
2013,1400000US36047034200,"Census Tract 342, Kings County, New York",42.4
2013,1400000US36047034300,"Census Tract 343, Kings County, New York",32.8
2013,1400000US36047034500,"Census Tract 345, Kings County, New York",30.3
2013,1400000US36047034700,"Census Tract 347, Kings County, New York",38.5
2013,1400000US36047034800,"Census Tract 348, Kings County, New York",35.8
2013,1400000US36047034900,"Census Tract 349, Kings County, New York",36.2
2013,1400000US36047035000,"Census Tract 350, Kings County, New York",19
2013,1400000US36047035100,"Census Tract 351, Kings County, New York",33.6
2013,1400000US36047035200,"Census Tract 352, Kings County, New York",46.7
2013,1400000US36047035300,"Census Tract 353, Kings County, New York",21.7
2013,1400000US36047035400,"Census Tract 354, Kings County, New York",9.4
2013,1400000US36047035500,"Census Tract 355, Kings County, New York",23.2
2013,1400000US36047035601,"Census Tract 356.01, Kings County, New York",13
2013,1400000US36047035602,"Census Tract 356.02, Kings County, New York",14.7
2013,1400000US36047035700,"Census Tract 357, Kings County, New York",57.1
2013,1400000US36047035900,"Census Tract 359, Kings County, New York",49.4
2013,1400000US36047036001,"Census Tract 360.01, Kings County, New York",30
2013,1400000US36047036002,"Census Tract 360.02, Kings County, New York",39.9
2013,1400000US36047036100,"Census Tract 361, Kings County, New York",34
2013,1400000US36047036200,"Census Tract 362, Kings County, New York",43.3
2013,1400000US36047036300,"Census Tract 363, Kings County, New York",18.3
2013,1400000US36047036400,"Census Tract 364, Kings County, New York",30.5
2013,1400000US36047036501,"Census Tract 365.01, Kings County, New York",21.8
2013,1400000US36047036502,"Census Tract 365.02, Kings County, New York",24.7
2013,1400000US36047036600,"Census Tract 366, Kings County, New York",24.7
2013,1400000US36047036700,"Census Tract 367, Kings County, New York",15.1
2013,1400000US36047036900,"Census Tract 369, Kings County, New York",36.5
2013,1400000US36047037000,"Census Tract 370, Kings County, New York",11
2013,1400000US36047037100,"Census Tract 371, Kings County, New York",20.1
2013,1400000US36047037300,"Census Tract 373, Kings County, New York",32.7
2013,1400000US36047037401,"Census Tract 374.01, Kings County, New York",13.2
2013,1400000US36047037402,"Census Tract 374.02, Kings County, New York",14.2
2013,1400000US36047037500,"Census Tract 375, Kings County, New York",17.1
2013,1400000US36047037700,"Census Tract 377, Kings County, New York",21.5
2013,1400000US36047037900,"Census Tract 379, Kings County, New York",27
2013,1400000US36047038100,"Census Tract 381, Kings County, New York",41.1
2013,1400000US36047038200,"Census Tract 382, Kings County, New York",42.3
2013,1400000US36047038300,"Census Tract 383, Kings County, New York",10.9
2013,1400000US36047038500,"Census Tract 385, Kings County, New York",30.3
2013,1400000US36047038600,"Census Tract 386, Kings County, New York",19.9
2013,1400000US36047038700,"Census Tract 387, Kings County, New York",36.3
2013,1400000US36047038800,"Census Tract 388, Kings County, New York",21.3
2013,1400000US36047038900,"Census Tract 389, Kings County, New York",37.6
2013,1400000US36047039000,"Census Tract 390, Kings County, New York",11.9
2013,1400000US36047039100,"Census Tract 391, Kings County, New York",25
2013,1400000US36047039200,"Census Tract 392, Kings County, New York",14.6
2013,1400000US36047039300,"Census Tract 393, Kings County, New York",18.6
2013,1400000US36047039400,"Census Tract 394, Kings County, New York",7.3
2013,1400000US36047039500,"Census Tract 395, Kings County, New York",45.3
2013,1400000US36047039600,"Census Tract 396, Kings County, New York",10.1
2013,1400000US36047039700,"Census Tract 397, Kings County, New York",32.6
2013,1400000US36047039800,"Census Tract 398, Kings County, New York",9.3
2013,1400000US36047039900,"Census Tract 399, Kings County, New York",27.9
2013,1400000US36047040000,"Census Tract 400, Kings County, New York",17.1
2013,1400000US36047040100,"Census Tract 401, Kings County, New York",28.6
2013,1400000US36047040200,"Census Tract 402, Kings County, New York",19.4
2013,1400000US36047040300,"Census Tract 403, Kings County, New York",39.3
2013,1400000US36047040400,"Census Tract 404, Kings County, New York",12.3
2013,1400000US36047040500,"Census Tract 405, Kings County, New York",20.5
2013,1400000US36047040600,"Census Tract 406, Kings County, New York",8.1
2013,1400000US36047040800,"Census Tract 408, Kings County, New York",13.7
2013,1400000US36047040900,"Census Tract 409, Kings County, New York",34.6
2013,1400000US36047041000,"Census Tract 410, Kings County, New York",6.2
2013,1400000US36047041100,"Census Tract 411, Kings County, New York",37.3
2013,1400000US36047041200,"Census Tract 412, Kings County, New York",10.2
2013,1400000US36047041300,"Census Tract 413, Kings County, New York",21.5
2013,1400000US36047041401,"Census Tract 414.01, Kings County, New York",9.4
2013,1400000US36047041402,"Census Tract 414.02, Kings County, New York",13.7
2013,1400000US36047041500,"Census Tract 415, Kings County, New York",16.6
2013,1400000US36047041600,"Census Tract 416, Kings County, New York",21
2013,1400000US36047041700,"Census Tract 417, Kings County, New York",28
2013,1400000US36047041800,"Census Tract 418, Kings County, New York",13.4
2013,1400000US36047041900,"Census Tract 419, Kings County, New York",33.4
2013,1400000US36047042000,"Census Tract 420, Kings County, New York",25
2013,1400000US36047042100,"Census Tract 421, Kings County, New York",23.2
2013,1400000US36047042200,"Census Tract 422, Kings County, New York",13.3
2013,1400000US36047042300,"Census Tract 423, Kings County, New York",27.1
2013,1400000US36047042400,"Census Tract 424, Kings County, New York",15
2013,1400000US36047042500,"Census Tract 425, Kings County, New York",26.7
2013,1400000US36047042600,"Census Tract 426, Kings County, New York",22.5
2013,1400000US36047042700,"Census Tract 427, Kings County, New York",38.5
2013,1400000US36047042800,"Census Tract 428, Kings County, New York",15.8
2013,1400000US36047042900,"Census Tract 429, Kings County, New York",35.2
2013,1400000US36047043000,"Census Tract 430, Kings County, New York",19.3
2013,1400000US36047043100,"Census Tract 431, Kings County, New York",42.1
2013,1400000US36047043200,"Census Tract 432, Kings County, New York",16.3
2013,1400000US36047043300,"Census Tract 433, Kings County, New York",30.1
2013,1400000US36047043400,"Census Tract 434, Kings County, New York",17.6
2013,1400000US36047043500,"Census Tract 435, Kings County, New York",34.2
2013,1400000US36047043600,"Census Tract 436, Kings County, New York",24.2
2013,1400000US36047043700,"Census Tract 437, Kings County, New York",30.6
2013,1400000US36047043800,"Census Tract 438, Kings County, New York",20.1
2013,1400000US36047043900,"Census Tract 439, Kings County, New York",24.5
2013,1400000US36047044000,"Census Tract 440, Kings County, New York",20.3
2013,1400000US36047044100,"Census Tract 441, Kings County, New York",30
2013,1400000US36047044200,"Census Tract 442, Kings County, New York",13.9
2013,1400000US36047044300,"Census Tract 443, Kings County, New York",26.7
2013,1400000US36047044400,"Census Tract 444, Kings County, New York",15.9
2013,1400000US36047044500,"Census Tract 445, Kings County, New York",31.1
2013,1400000US36047044600,"Census Tract 446, Kings County, New York",18.8
2013,1400000US36047044700,"Census Tract 447, Kings County, New York",19.5
2013,1400000US36047044800,"Census Tract 448, Kings County, New York",10.4
2013,1400000US36047044900,"Census Tract 449, Kings County, New York",26.5
2013,1400000US36047045000,"Census Tract 450, Kings County, New York",12.1
2013,1400000US36047045200,"Census Tract 452, Kings County, New York",5.6
2013,1400000US36047045300,"Census Tract 453, Kings County, New York",38.4
2013,1400000US36047045400,"Census Tract 454, Kings County, New York",15.3
2013,1400000US36047045600,"Census Tract 456, Kings County, New York",24.7
2013,1400000US36047045800,"Census Tract 458, Kings County, New York",4.2
2013,1400000US36047046000,"Census Tract 460, Kings County, New York",20.3
2013,1400000US36047046201,"Census Tract 462.01, Kings County, New York",30.5
2013,1400000US36047046202,"Census Tract 462.02, Kings County, New York",27.3
2013,1400000US36047046400,"Census Tract 464, Kings County, New York",29.9
2013,1400000US36047046800,"Census Tract 468, Kings County, New York",37.9
2013,1400000US36047047000,"Census Tract 470, Kings County, New York",44.7
