station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,travel_time_source,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_missing_flag,population_missing_flag,travel_time_to_midtown,log_travel_time,inv_travel_time,num_transfer_lines,transfer_score,log_service_intensity,combined_service,jobs_density_interaction,log_jobs_density_interaction,walkability_index,pop_poverty_interaction,log_pop_poverty_interaction,accessibility_demand
327,"Chambers St (1,2,3)",Manhattan,13909.51935,9.540400621,FALSE,125.33,0,1.999996,10.0178425,10.82259432,1.548378651,4.700480366,3.292098703,3.784189634,8.5,8.5,3,observed_gtfs,2.251291799,0,3.439341476,-0.077441045,5020.933083,40.80864166,0,0,8.5,2.251291799,0.105263158,3,375.99,4.838897531,168.33,1124239080,20.84037227,4.840477354,17268.7034,9.756708997,528.5192719
328,WTC Cortlandt (1),Manhattan,11500.40614,9.35022458,FALSE,51.33,0,0.999999,10.15237682,11.0472166,1.459125418,4.700480366,3.325164752,3.737669618,14,14,1,observed_gtfs,2.708050201,0,8.055507921,0.078085101,1759.635345,24.19380562,0,0,14,2.708050201,0.066666667,1,51.33,3.95756982,92.33,1610061968,21.19953851,4.78429017,14174.75646,9.559288493,117.309023
329,Rector St (1),Manhattan,5365.829826,8.587992664,FALSE,51.33,0,0.999999,10.11309997,10.80954611,1.512141941,4.727387819,3.36145251,3.737669618,15.5,15.5,1,observed_gtfs,2.803360381,0,10.19206713,0.053643564,4740.95016,-236.6335983,0,0,15.5,2.803360381,0.060606061,1,51.33,3.95756982,92.33,1220571870,20.92258533,4.873594451,48320.08229,10.78562323,287.3303127
635,"Whitehall St-South Ferry (1,R,W)",Manhattan,20708.2725,9.938336826,FALSE,49,4,0.666666222,9.848872959,10.2422429,1.660677518,4.394449155,3.372184625,3.737669618,17,19.5,3,observed_gtfs,2.890371758,0,6.865661069,0.108243468,980.7946581,24.60291263,0,0,17,2.890371758,0.055555556,3,147,3.912023005,90,531400968,20.09102741,5.032862143,6733.803701,8.815043942,54.48859212
416,Wakefield-241 St (2),Bronx,2810.395743,7.941436345,FALSE,38,2,0.666666222,7.531016332,9.981928979,1.705850204,0,1.424581337,1.609437912,58,58,1,observed_gtfs,4.077537444,0,,,2076.006517,-10.28465335,1,0,58,4.077537444,0.016949153,1,38,3.663561646,42,40320184,17.51236277,3.130431541,,,35.18655114
417,"Nereid Av (2,5)",Bronx,1891.40566,7.545604135,FALSE,41.33,0,0.666666222,8.038512021,10.35367105,1.809267699,0.693147181,1.704354383,2.079441542,55,55.75,2,observed_gtfs,4.025351691,0,,,2872.547608,64.85428721,1,0,55,4.025351691,0.017857143,2,82.66,3.745496055,48.33,97155987,18.39182837,3.513622082,,,51.295493
418,"233 St (2,5)",Bronx,2606.342163,7.866086653,FALSE,42,2,0.666666222,8.090402297,10.60077615,1.962247908,0.693147181,1.79376243,2.079441542,53.5,54.25,2,observed_gtfs,3.998200702,0,,,4727.048714,34.53597786,1,0,53.5,3.998200702,0.018348624,2,84,3.761200116,49,131018230,18.69084704,3.756010338,,,86.73483879
419,"225 St (2,5)",Bronx,1906.389635,7.553490903,FALSE,42.33,2,0.999999,7.724004657,10.68976071,1.782420997,0.693147181,1.539217355,2.48490665,51.25,52.38,2,observed_gtfs,3.956039891,0,,,4153.46058,15.22772375,1,0,51.25,3.956039891,0.019138756,2,84.66,3.768845236,53.33,99264683,18.41330042,3.321638352,,,79.49206852
420,"219 St (2,5)",Bronx,1536.946118,7.338203115,FALSE,42,2,0.666666222,7.440146681,10.68322519,1.725185729,1.098612289,1.580811792,2.302585093,49.75,51.12,2,observed_gtfs,3.926911618,0,,,3411.173775,-28.46946423,1,0,49.75,3.926911618,0.019704433,2,84,3.761200116,51,74236134,18.12276158,3.305997521,,,67.2152468
421,"Gun Hill Rd (2,5)",Bronx,4025.566219,8.300669237,FALSE,41.67,0,0.666666222,8.370547611,10.65925736,1.884976077,1.098612289,1.83305768,2.772588722,47.75,49.12,2,observed_gtfs,3.886705197,0,,,4425.063325,-38.26092507,1,0,47.75,3.886705197,0.020512821,2,83.34,3.753496097,56.67,183835128,19.02954988,3.718033757,,,90.77052974
422,"Burke Av (2,5)",Bronx,1720.819908,7.451137097,FALSE,41.33,0,0.666666222,7.622174595,10.70864559,1.972000692,0.693147181,1.754356945,2.397895273,46.25,47.62,2,observed_gtfs,3.855452654,0,,,4631.601066,338.9217398,1,0,46.25,3.855452654,0.021164021,2,82.66,3.745496055,51.33,91359080,18.33030824,3.726357637,,,98.02330298
423,"Allerton Av (2,5)",Bronx,2771.940977,7.927663761,FALSE,42,2,0.666666222,7.826443135,10.80307963,1.627446841,1.098612289,1.958759375,2.833213344,44.75,46.12,2,observed_gtfs,3.823191792,0,,,5293.412425,415.5976948,1,0,44.75,3.823191792,0.021857923,2,84,3.761200116,58,123173355,18.62910332,3.586206216,,,115.7030038
424,"Pelham Pkwy (2,5)",Bronx,5333.610728,8.581971195,FALSE,42.67,0,0.666666222,8.204945165,10.72143752,1.552487721,1.945910149,2.042427328,2.890371758,42.25,43.88,2,observed_gtfs,3.766997233,0,,,5192.048093,-108.5449102,1,0,42.25,3.766997233,0.023121387,2,85.34,3.776661367,59.67,165765928,18.92608728,3.594915049,,,120.0473548
425,"Bronx Park East (2,5)",Bronx,1506.366534,7.31811939,FALSE,42.67,0,0.666666222,8.210668031,10.37757658,1.908385811,1.386294361,1.888667144,2.772588722,39,41,2,observed_gtfs,3.688879454,0,,,2018.62586,3.514872968,1,0,39,3.688879454,0.025,2,85.34,3.776661367,57.67,118206270,18.58794172,3.797052955,,,50.4656465
426,"E 180 St (2,5)",Bronx,5687.194364,8.646148142,FALSE,79.33,0,0.999999,8.096208272,10.50174696,2.129864101,1.386294361,1.930796196,2.772588722,35.5,38,2,observed_gtfs,3.597312261,0,,,1335.430215,-9.022582292,1,0,35.5,3.597312261,0.02739726,2,158.66,4.38614315,94.33,119356218,18.59762302,4.060660297,,,36.58712918
