station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,jobs_access_network,pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,bus_routes_access_network,avg_headway_min_am_peak,service_x_jobs_access,density_x_service,jobs_x_density,entropy_x_density,inv_headway,log_jobs_access,log_density,cluster
452,90 St-Elmhurst Av (7),Queens,14200.0257,9.561069473,76.0,0,4886,100547,1.764459101,1.609437912,8.374673049,16,1.0,371336.0,7641572.0,491272642,177411.0692,0.999999,8.494333897,11.5183905,1
453,82 St-Jackson Hts (7),Queens,7726.683478,8.952564417,77.33,0,4454,98586,1.731713194,2.302585093,7.61361507,14,1.0,344427.82,7623655.38,439102044,170722.6769,0.999999,8.40178234,11.49869469,1
455,69 St (7),Queens,4392.923863,8.387977925,44.67,0,3435,57620,1.957986085,2.564949357,8.467895761,11,1.5,153441.45,2573885.4,197924700,112819.1582,0.666666222,8.142063283,10.96164236,1
456,61 St-Woodside (7),Queens,12963.56271,9.469974969,89.0,0,6438,49570,2.117601421,2.302585093,7.128246701,15,0.5,572982.0,4411730.0,319131660,104969.5024,1.999996,8.770128528,10.81116126,1
457,52 St (7),Queens,4700.237179,8.455580983,44.67,0,4506,49269,2.073600445,1.945910149,6.042619081,13,1.5,201283.02,2200846.23,222006114,102164.2203,0.666666222,8.413387023,10.80507066,1
458,46 St-Bliss St (7),Queens,9244.58545,9.131901468,88.67,0,6095,57170,2.048142069,1.945910149,6.132673007,13,0.75,540443.65,5069263.9,348451150,117092.2821,1.333331556,8.715388097,10.95380206,1
459,40 St-Lowery St (7),Queens,7224.420295,8.885360684,88.67,0,7568,43126,2.011501716,2.079441542,5.795654925,10,1.0,671054.56,3823982.42,326377568,86748.023,0.999999,8.931816237,10.67190453,1
460,33 St-Rawson St (7),Queens,6482.170174,8.776964894,89.33,0,11655,16544,1.915808495,2.397895273,5.567703496,12,0.5,1041141.15,1477875.52,192820320,31695.13574,1.999996,9.363576348,9.71383922,1
461,"Queensboro Plaza (7,N,W)",Queens,10573.88238,9.266236881,45.33,0,8195,20573,2.061518674,2.63905733,6.099122266,14,1.5,371479.35,932574.09,168595735,42411.62368,0.666666222,9.011401509,9.931783422,1
606,"Court Sq-23 St (7,E,F,G)",Queens,18883.9059,9.846118252,36.33,2,9474,17082,2.038952927,2.772588722,4.116956628,14,1.5,344190.42,620589.06,161834868,34829.3939,0.666666222,9.15641203,9.745839096,1
