station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
"36 St (D,N,R)",32,Brooklyn,40.655144,-74.00355,POINT (-74.00355 40.655144),2024,11324.61006,9.334821818
"36 St (M,R)",272,Queens,40.75204,-73.92878,POINT (-73.92878 40.75204),2023,2743.115385,7.917214038
"36 St (M,R)",272,Queens,40.75204,-73.92878,POINT (-73.92878 40.75204),2024,2628.842767,7.874679339
"39 Av-Dutch Kills (N,W)",6,Queens,40.75288,-73.932755,POINT (-73.932755 40.75288),2023,2659.192308,7.886153695
"39 Av-Dutch Kills (N,W)",6,Queens,40.75288,-73.932755,POINT (-73.932755 40.75288),2024,2791.383648,7.934650864
"4 Av (F,G)/9 St (R)",608,Brooklyn,40.670273,-73.98978,POINT (-73.98978 40.670273),2023,9123.134615,9.118678337
"4 Av (F,G)/9 St (R)",608,Brooklyn,40.670273,-73.98978,POINT (-73.98978 40.670273),2024,9245.72327,9.132024527
40 St-Lowery St (7),459,Queens,40.743782,-73.92402,POINT (-73.92402 40.743782),2023,7214.884615,8.884040072
40 St-Lowery St (7),459,Queens,40.743782,-73.92402,POINT (-73.92402 40.743782),2024,7233.955975,8.886679554
45 St (R),33,Brooklyn,40.648937,-74.01001,POINT (-74.01001 40.648937),2023,5867.987179,8.677437356
45 St (R),33,Brooklyn,40.648937,-74.01001,POINT (-74.01001 40.648937),2024,5531.974843,8.618480896
"46 St (M,R)",270,Queens,40.756313,-73.91333,POINT (-73.91333 40.756313),2023,5506.50641,8.613867243
"46 St (M,R)",270,Queens,40.756313,-73.91333,POINT (-73.91333 40.756313),2024,5193.937107,8.555439797
46 St-Bliss St (7),458,Queens,40.743134,-73.918434,POINT (-73.918434 40.743134),2023,9278.724359,9.135587123
46 St-Bliss St (7),458,Queens,40.743134,-73.918434,POINT (-73.918434 40.743134),2024,9210.446541,9.128202179
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",225,Manhattan,40.758663,-73.98133,POINT (-73.98133 40.758663),2023,41141.8141,10.62480456
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",225,Manhattan,40.758663,-73.98133,POINT (-73.98133 40.758663),2024,44426.38994,10.70161145
"49 St (N,R,W)",10,Manhattan,40.7599,-73.98414,POINT (-73.98414 40.7599),2023,17148.44231,9.749720934
"49 St (N,R,W)",10,Manhattan,40.7599,-73.98414,POINT (-73.98414 40.7599),2024,19973.98113,9.902235826
"5 Av/53 St (E,M)",276,Manhattan,40.760166,-73.97523,POINT (-73.97523 40.760166),2023,17521.24359,9.771226415
"5 Av/53 St (E,M)",276,Manhattan,40.760166,-73.97523,POINT (-73.97523 40.760166),2024,16964.92453,9.738962172
"5 Av/59 St (N,R,W)",8,Manhattan,40.764812,-73.97335,POINT (-73.97335 40.764812),2023,10965.82692,9.302630261
"5 Av/59 St (N,R,W)",8,Manhattan,40.764812,-73.97335,POINT (-73.97335 40.764812),2024,11764.39623,9.372917979
50 St (1),316,Manhattan,40.761726,-73.98385,POINT (-73.98385 40.761726),2023,19473.91026,9.876882263
50 St (1),316,Manhattan,40.761726,-73.98385,POINT (-73.98385 40.761726),2024,17478.69811,9.768795379
"50 St (C,E)",162,Manhattan,40.762455,-73.985985,POINT (-73.985985 40.762455),2023,14949.83333,9.612522319
"50 St (C,E)",162,Manhattan,40.762455,-73.985985,POINT (-73.985985 40.762455),2024,16661.86164,9.720937668
50 St (D),61,Brooklyn,40.63626,-73.99479,POINT (-73.99479 40.63626),2023,2538.064103,7.839550829
50 St (D),61,Brooklyn,40.63626,-73.99479,POINT (-73.99479 40.63626),2024,2538.509434,7.839726205
52 St (7),457,Queens,40.74415,-73.91255,POINT (-73.91255 40.74415),2023,4561.807692,8.425693435
52 St (7),457,Queens,40.74415,-73.91255,POINT (-73.91255 40.74415),2024,4838.666667,8.484601127
53 St (R),34,Brooklyn,40.64507,-74.01403,POINT (-74.01403 40.64507),2023,6385.858974,8.761997873
53 St (R),34,Brooklyn,40.64507,-74.01403,POINT (-74.01403 40.64507),2024,6187.893082,8.730511526
55 St (D),62,Brooklyn,40.631435,-73.995476,POINT (-73.995476 40.631435),2023,1400.935897,7.245609344
55 St (D),62,Brooklyn,40.631435,-73.995476,POINT (-73.995476 40.631435),2024,1390.125786,7.237868616
57 St (F),224,Manhattan,40.763973,-73.97745,POINT (-73.97745 40.763973),2023,8699.230769,9.071104829
57 St (F),224,Manhattan,40.763973,-73.97745,POINT (-73.97745 40.763973),2024,9494.333333,9.158555729
"57 St-7 Av (N,Q,R,W)",9,Manhattan,40.764664,-73.98066,POINT (-73.98066 40.764664),2023,24746.59615,10.11648364
"57 St-7 Av (N,Q,R,W)",9,Manhattan,40.764664,-73.98066,POINT (-73.98066 40.764664),2024,26291.98113,10.17705731
"59 St (N,R)",35,Brooklyn,40.64136,-74.01788,POINT (-74.01788 40.64136),2023,9118.807692,9.118203996
"59 St (N,R)",35,Brooklyn,40.64136,-74.01788,POINT (-74.01788 40.64136),2024,9270.320755,9.134681125
"59 St-Columbus Circle (A,B,C,D,1)",614,Manhattan,40.768295,-73.981735,POINT (-73.981735 40.768295),2023,51026.45513,10.8401191
"59 St-Columbus Circle (A,B,C,D,1)",614,Manhattan,40.768295,-73.981735,POINT (-73.981735 40.768295),2024,53856.93082,10.89410495
61 St-Woodside (7),456,Queens,40.74563,-73.902985,POINT (-73.902985 40.74563),2023,13560.98077,9.515025625
61 St-Woodside (7),456,Queens,40.74563,-73.902985,POINT (-73.902985 40.74563),2024,12366.14465,9.42279861
"63 Dr-Rego Park (M,R)",263,Queens,40.729847,-73.8616,POINT (-73.8616 40.729847),2023,10181.99359,9.228474313
"63 Dr-Rego Park (M,R)",263,Queens,40.729847,-73.8616,POINT (-73.8616 40.729847),2024,9936.402516,9.204060949
"65 St (M,R)",268,Queens,40.74967,-73.89845,POINT (-73.89845 40.74967),2023,2368.288462,7.770344962
"65 St (M,R)",268,Queens,40.74967,-73.89845,POINT (-73.89845 40.74967),2024,2437.012579,7.798938469
66 St-Lincoln Center (1),314,Manhattan,40.77344,-73.98221,POINT (-73.98221 40.77344),2023,15619.23718,9.656322608
66 St-Lincoln Center (1),314,Manhattan,40.77344,-73.98221,POINT (-73.98221 40.77344),2024,15527.32075,9.650420781
"67 Av (M,R)",262,Queens,40.726524,-73.85272,POINT (-73.85272 40.726524),2023,5772.833333,8.661091495
