station_complex_id,poverty_latest,poverty_slope,poverty_change_ratio,poverty_first_year,poverty_last_year,n_years
246,20.77832596,-0.954159386,0.725603966,2013,2024,12
247,28.59093388,-0.556199849,1.417768216,2013,2024,12
248,15.96279831,-0.195011277,0.909842745,2013,2024,12
249,24.23460396,0.449501619,1.469547181,2013,2024,12
250,23.08031456,1.33757994,2.325195653,2013,2024,12
251,15.23351667,-0.179375443,1.194963778,2013,2024,12
252,15.59978602,-0.475342849,0.945603583,2013,2024,12
253,11.55008499,0.070734937,0.831963114,2013,2024,12
254,14.98500807,-0.707093283,0.70006595,2013,2024,12
255,19.43092149,-1.573902103,0.606596207,2013,2024,12
256,21.59806775,-0.390039189,0.847983685,2013,2024,12
257,22.06592879,-0.768327928,0.826504603,2013,2024,12
258,13.96800099,-0.137645085,0.979073737,2013,2024,12
259,6.048627163,-0.233742157,0.774313348,2013,2024,12
260,6.785908821,-0.047002392,1.052710811,2013,2024,12
261,3.010898322,-0.4283939,0.541812919,2013,2024,12
262,13.16440935,-0.189162758,1.004108293,2013,2024,12
263,12.265259,-0.112295801,1.267403327,2013,2024,12
264,10.51291723,-0.431377406,0.818025523,2013,2024,12
265,11.51054736,-0.94198022,0.667643311,2013,2024,12
266,16.03036302,-0.586076653,0.781584261,2013,2024,12
268,7.588581458,-1.685264897,0.363683282,2013,2024,12
269,10.8468385,0.021337294,1.019078326,2013,2024,12
270,11.11094845,-1.023225628,0.591904657,2013,2024,12
271,9.593248301,-1.211919616,0.494255984,2013,2024,12
272,11.06355752,-0.163925164,0.563777247,2013,2024,12
273,10.61807954,-0.120419728,0.908060573,2020,2024,5
276,3.754301388,-0.259928292,0.400435689,2013,2024,12
277,8.53552789,-0.540060439,0.60317124,2013,2024,12
278,15.28737261,-0.754501448,0.732995905,2013,2024,12
279,17.67279545,-0.377111315,0.850135568,2013,2024,12
280,15.33826721,-0.484979719,0.804786381,2013,2024,12
282,10.64634268,1.701167713,2.63364694,2020,2024,5
283,8.632908952,-0.342971849,0.581543686,2013,2024,12
284,5.801746345,-0.500175355,0.684960054,2013,2024,12
286,24.67594973,-1.383513407,0.629429274,2013,2024,12
287,38.25112532,-0.789993414,0.833886935,2013,2024,12
288,29.81169834,0.075461497,1.085481268,2013,2024,12
289,21.44610721,-0.180412329,0.788971666,2013,2024,12
290,22.92581923,-0.419890781,0.770139375,2013,2024,12
291,7.106017835,-0.73922844,0.593177922,2013,2024,12
292,9.205791096,-0.158089915,0.774085024,2013,2024,12
296,36.32551531,0.284166676,1.051883167,2013,2024,12
297,8.047234247,-1.332213627,0.404085733,2013,2024,12
298,32.5985867,-0.60874452,1.126601741,2013,2024,12
299,22.8891354,-0.326095662,0.977688702,2013,2024,12
300,15.77668782,-0.772409006,0.56273421,2013,2024,12
301,18.53900886,-1.136179984,0.636166472,2013,2024,12
303,23.49393343,-0.597151389,0.933582959,2013,2024,12
304,28.07058893,-0.187988419,0.982021593,2013,2024,12
305,27.78206612,-0.424230113,0.957114656,2013,2024,12
306,32.28816687,0.03582565,1.208801549,2013,2024,12
307,14.40723161,0.103405024,1.029143047,2013,2024,12
308,18.15968429,0.028564069,0.958725728,2013,2024,12
309,11.17588056,-0.142073008,1.0407763,2013,2024,12
310,13.81929867,0.375336444,1.363799173,2013,2024,12
311,7.640672576,0.206803502,1.372236648,2013,2024,12
312,6.280315514,-0.009032638,0.935015295,2013,2024,12
313,5.118656187,-0.288933818,0.607668292,2013,2024,12
314,7.226319326,0.16625611,1.245917125,2013,2024,12
316,10.83908485,-0.353769839,0.608622135,2013,2024,12
318,21.67842477,1.291355355,1.755538068,2013,2024,12
319,12.71530345,-0.165538607,1.036735095,2013,2024,12
320,13.27380182,0.46653358,1.097405805,2013,2024,12
321,9.102017358,0.263797035,1.837927747,2013,2024,12
323,8.494356988,0.193491291,1.410197852,2013,2024,12
324,5.202956403,-0.280921935,0.656522781,2013,2024,12
325,6.392085548,-0.305471258,0.735433544,2013,2024,12
326,6.196252136,-0.178559045,1.013408047,2013,2024,12
327,3.439341476,-0.077441045,1.044753959,2013,2024,12
328,8.055507921,0.078085101,1.204086252,2013,2024,12
329,10.19206713,0.053643564,1.131016872,2013,2024,12
333,4.073016351,-0.69454286,0.392673838,2013,2024,12
334,5.912751747,-0.860779696,0.464041234,2013,2024,12
336,13.25957312,0.392010593,1.213916885,2013,2024,12
337,10.33914274,-0.309177538,0.646048082,2013,2024,12
339,4.628555781,-0.615300135,0.440701698,2013,2024,12
340,6.012905391,0.032804761,1.070231565,2013,2024,12
341,8.21736457,-0.716297562,0.407091677,2013,2024,12
343,10.72998959,-1.618541773,0.447479066,2013,2024,12
344,17.29106152,-0.56473802,0.746529066,2013,2024,12
345,28.37514221,1.718399643,1.265618327,2020,2024,5
346,51.22891111,1.341024093,1.770596413,2013,2024,12
347,28.3665114,0.212200278,1.050049907,2013,2024,12
348,34.08344775,-0.039686792,0.929235164,2013,2024,12
349,37.29501719,-1.222298749,0.77394966,2013,2024,12
350,26.94174444,-1.374648825,0.689458346,2013,2024,12
351,19.881879,-0.948516715,0.589521111,2013,2024,12
352,15.85245234,-1.233629538,0.502075607,2013,2024,12
353,11.55992999,-1.717846144,0.525420519,2013,2024,12
354,18.83230637,-0.670528001,0.85707465,2013,2024,12
355,18.63344207,-1.056348368,0.738763905,2013,2024,12
356,24.91083037,-0.394010918,1.134013655,2013,2024,12
357,16.78333124,-0.576487669,0.807785476,2013,2024,12
358,13.85128981,-0.225468282,1.099103824,2013,2024,12
359,13.32394577,-0.861170421,0.718983945,2013,2024,12
375,46.1,-0.51958042,0.878095238,2013,2024,12
376,46.1,-0.51958042,0.878095238,2013,2024,12
391,36.7,0.312237762,1.244067797,2013,2024,12
392,29.4035039,-1.199018403,0.681297289,2013,2024,12
393,36.89243627,-0.411654174,1.084508027,2013,2024,12
394,27.80573641,0.415307496,1.188073436,2013,2024,12
395,34.66329209,0.693897947,1.254881249,2013,2024,12
396,8.551151632,0.137853316,1.078330299,2013,2024,12
397,4.640146495,-0.061979616,0.831399507,2013,2024,12
398,6.005638118,-0.143373999,0.854310218,2013,2024,12
399,5.919429535,0.092606778,0.94174304,2013,2024,12
403,9.510397644,-0.283566325,0.945674561,2013,2024,12
404,11.83538949,-0.161706339,0.982150854,2013,2024,12
405,13.28790004,-0.066213557,1.008606366,2013,2024,12
407,11.64650268,0.228686163,1.182259965,2013,2024,12
409,14.81678928,-0.279529908,0.797962579,2013,2024,12
413,7.097609292,-0.368921555,0.706663032,2013,2024,12
414,10.40808127,0.149702013,1.163917776,2013,2024,12
436,19.24683864,-0.422377419,0.858897357,2013,2024,12
437,34.01480337,0.654021724,1.267185172,2013,2024,12
438,21.71170397,0.071260492,1.349372062,2013,2024,12
439,23.36396152,-0.866566072,0.834112888,2013,2024,12
440,16.83380289,-1.452028314,0.560823657,2013,2024,12
441,21.62352118,-1.088722659,0.679229112,2013,2024,12
447,22.79084993,-1.137294013,0.695807356,2013,2024,12
448,0,,,2013,2013,1
449,20.45999956,1.934382964,1.684693935,2020,2024,5
450,20.59993644,1.174283239,1.295353402,2020,2024,5
451,19.94864446,-0.283723121,1.016065049,2013,2024,12
452,17.46247552,-0.726141604,0.826367757,2013,2024,12
453,15.53975569,-0.403530866,0.909338296,2013,2024,12
455,12.77596704,-1.16486988,1.191618028,2013,2024,12
456,6.679901491,-1.203692368,0.406209932,2013,2024,12
457,14.83056854,-0.077576484,1.098295746,2013,2024,12
458,16.19747409,0.104991731,1.481327407,2013,2024,12
459,9.825422383,-0.74332671,0.620371719,2013,2024,12
460,98.67594319,16.19887729,2.210691514,2020,2024,5
461,11.31433164,0.504859968,1.19832587,2020,2024,5
463,12.57684192,0.380469561,1.165369615,2020,2024,5
464,6.086536841,0.838942076,2.390935882,2020,2024,5
471,8.3,-0.58,0.864583333,2020,2024,5
475,12.27766001,0.058745725,1.056297114,2013,2024,12
476,8.865334233,0.317167493,1.328096777,2013,2024,12
477,4.025802574,-0.900868392,0.360341456,2013,2024,12
501,22.87987204,0.216406732,1.401423609,2013,2024,12
