station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,jobs_access_network,pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,bus_routes_access_network,avg_headway_min_am_peak,service_x_jobs_access,density_x_service,jobs_x_density,entropy_x_density,inv_headway,log_jobs_access,log_density
325,Canal St (1),Manhattan,4035.300254,8.303083773,53.33,0,17574,38561,1.772037262,4.644390899,22.99774094,40,1.0,937221.4199999999,2056458.13,677671014,68331.528859982,0.9999990000010001,9.774232716678865,10.56002261459934
326,Franklin St (1),Manhattan,4729.817066,8.461853208,53.0,0,20179,45553,1.663964072,4.795790546,24.7784427,37,1.0,1069487.0,2414309.0,919213987,75798.555371816,0.9999990000010001,9.9124472939076,10.726653714419808
327,"Chambers St (1,2,3)",Manhattan,13909.51935,9.540400621,125.33,0,22422,50140,1.548378651,4.700480366,25.899258,43,0.5,2810149.26,6284046.2,1124239080,77635.70556114,1.999996000008,10.01784249677353,10.822594315669765
328,WTC Cortlandt (1),Manhattan,11500.40614,9.35022458,51.33,0,25651,62768,1.459125418,4.700480366,26.80357896,41,1.0,1316665.8299999998,3221881.44,1610061968,91586.384237024,0.9999990000010001,10.152376820268753,11.047216600007362
329,Rector St (1),Manhattan,5365.829826,8.587992664,51.33,0,24663,49490,1.512141941,4.727387819,27.83103784,41,1.0,1265951.79,2540321.6999999997,1220571870,74835.90466009,0.9999990000010001,10.113099969565987,10.809546113844034
635,"Whitehall St-South Ferry (1,R,W)",Manhattan,20708.2725,9.938336826,49.0,4,18936,28063,1.660677518,4.394449155,28.14212218,41,1.5,927864.0,1375087.0,531400968,46603.593187634,0.6666662222225186,9.848872959262906,10.242242895171909
416,Wakefield-241 St (2),Bronx,2810.395743,7.941436345,38.0,2,1864,21631,1.705850204,0.0,3.156117466,4,1.5,70832.0,821978.0,40320184,36899.245762724,0.6666662222225186,7.5310163320779155,9.98192897884269
417,"Nereid Av (2,5)",Bronx,1891.40566,7.545604135,41.33,0,3097,31371,1.809267699,0.693147181,4.497835023,7,1.5,127999.01,1296563.43,97155987,56758.536985329,0.6666662222225186,8.038512020976814,10.353671054332557
418,"233 St (2,5)",Bronx,2606.342163,7.866086653,42.0,2,3262,40165,1.962247908,0.693147181,5.012029807,7,1.5,137004.0,1686930.0,131018230,78813.68722482,0.6666662222225186,8.09040229659332,10.600776145596623
419,"225 St (2,5)",Bronx,1906.389635,7.553490903,42.33,2,2261,43903,1.782420997,0.693147181,3.660940981,11,1.0,95708.12999999999,1858413.99,99264683,78253.629031291,0.9999990000010001,7.724004656676065,10.689760711085556
420,"219 St (2,5)",Bronx,1536.946118,7.338203115,42.0,2,1702,43617,1.725185729,1.098612289,3.858898626,9,1.5,71484.0,1831914.0,74236134,75247.425941793,0.6666662222225186,7.440146680662688,10.683225188177172
421,"Gun Hill Rd (2,5)",Bronx,4025.566219,8.300669237,41.67,0,4317,42584,1.884976077,1.098612289,5.25297706,15,1.5,179889.39,1774475.28,183835128,80269.82126296799,0.6666662222225186,8.370547611074752,10.659257357575182
422,"Burke Av (2,5)",Bronx,1720.819908,7.451137097,41.33,0,2042,44740,1.972000692,0.693147181,4.779729862,10,1.5,84395.86,1849104.2,91359080,88227.31096008,0.6666662222225186,7.622174594817622,10.708645586157767
423,"Allerton Av (2,5)",Bronx,2771.940977,7.927663761,42.0,2,2505,49171,1.627446841,1.098612289,6.090524922,16,1.5,105210.0,2065182.0,123173355,80023.18861881101,0.6666662222225186,7.826443135456014,10.803079634787231
424,"Pelham Pkwy (2,5)",Bronx,5333.610728,8.581971195,42.67,0,3658,45316,1.552487721,1.945910149,6.709299502,17,1.5,156086.86000000002,1933633.72,165765928,70352.533564836,0.6666662222225186,8.204945165019208,10.721437517010912
425,"Bronx Park East (2,5)",Bronx,1506.366534,7.31811939,42.67,0,3679,32130,1.908385811,1.386294361,5.610551894,15,1.5,156982.93,1370987.1,118206270,61316.43610743,0.6666662222225186,8.210668031162976,10.377576575186112
426,"E 180 St (2,5)",Bronx,5687.194364,8.646148142,79.33,0,3281,36378,2.129864101,1.386294361,5.894997825,15,1.0,260281.72999999998,2885866.7399999998,119356218,77480.196266178,0.9999990000010001,8.096208271650037,10.501746964063756
427,"West Farms Sq-E Tremont Av (2,5)",Bronx,3228.187954,8.079985977,65.0,0,4054,44311,1.995208127,0.693147181,6.108868215,18,1.0,263510.0,2880215.0,179636794,88409.66731549699,0.9999990000010001,8.307705966549513,10.69901079971294
428,"174 St (2,5)",Bronx,3595.812651,8.187803358,65.0,0,4197,40325,1.859549481,0.0,6.631657991,15,1.0,272805.0,2621125.0,169244025,74986.33282132499,0.9999990000010001,8.342363500380579,10.60475170119802
429,"Freeman St (2,5)",Bronx,2699.229136,7.901091914,65.0,0,4851,53200,1.999037251,0.693147181,9.273418759,14,1.0,315315.0,3458000.0,258073200,106348.7817532,0.9999990000010001,8.48714627006394,10.881832472145556
430,"Simpson St (2,5)",Bronx,4497.658261,8.411534467,65.33,0,3440,56197,2.173529145,1.791759469,8.235732351,12,1.0,224735.19999999998,3671350.01,193317680,122145.81736156499,0.9999990000010001,8.14351740579748,10.93663644805993
431,"Intervale Av (2,5)",Bronx,1852.235426,7.524688269,65.67,0,3703,63676,2.02871156,2.302585093,11.70800639,15,1.0,243176.01,4181602.92,235792228,129180.23729456001,0.9999990000010001,8.21716859576607,11.061578708855764
432,"Prospect Av (2,5)",Bronx,4109.270138,8.321244032,66.0,0,4502,70680,1.961356802,2.302585093,11.80694195,14,1.0,297132.0,4664880.0,318201360,138628.69876536,0.9999990000010001,8.412499120301572,11.165932074607458
433,"Jackson Av (2,5)",Bronx,3122.304124,8.046646735,66.0,0,4713,63903,2.152677627,2.564949357,11.37492245,15,1.0,311058.0,4217598.0,301174839,137562.55839818102,0.9999990000010001,8.458292083496076,11.065137236215541
434,"3 Av-149 St (2,5)",Bronx,11628.18874,9.361273487,77.67,0,7560,59157,2.062324309,2.302585093,11.22603681,17,1.0,587185.2000000001,4594724.19,447226920,122000.919147513,0.9999990000010001,8.93075873555827,10.987967109627181
603,"149 St-Grand Concourse (2,4,5)",Bronx,6980.165518,8.850971161,45.33,2,7219,38352,2.187884226,2.564949357,10.18384698,21,1.0,327237.26999999996,1738496.16,276863088,83909.735835552,0.9999990000010001,8.884610231886873,10.55458803059373
438,"135 St (2,3)",Manhattan,7199.292392,8.881876914,74.67,0,4191,79883,1.938046008,3.761200116,8.594882385,24,1.0,312941.97000000003,5964863.61,334789653,154816.92925706398,0.9999990000010001,8.340933226000878,11.288330861388705
439,"125 St (2,3)",Manhattan,8855.033986,9.088854312,75.67,0,6144,76646,1.996111216,4.143134726,9.267566804,28,0.5,464916.48,5799802.82,470913024,152993.94026153602,1.999996000008,8.723394022000136,11.246965744590764
440,"116 St (2,3)",Manhattan,6178.910135,8.729059009,75.33,0,5289,84574,1.794133476,3.713572067,9.661402439,28,0.5,398420.37,6370959.42,447311886,151737.044599224,1.999996000008,8.573573524852344,11.345393993648909
441,"110 St-Malcolm X Plaza (2,3)",Manhattan,4913.069182,8.499857632,75.0,0,5349,79166,1.467345043,3.555348061,10.76916284,24,1.0,401175.0,5937450.0,423458934,116163.83767413799,0.9999990000010001,8.584851839890053,11.279314824306175
624,"Chambers St/WTC/Park Place/Cortlandt St (2,3,A,C,E,R,W)",Manhattan,45015.99571,10.71479538,49.67,3,26689,67136,1.533412886,4.804021045,27.03799919,43,1.0,1325642.6300000001,3334645.12,1791792704,102947.207514496,0.9999990000010001,10.19204424239857,11.114490586783264
628,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,63320.64653,11.05598252,37.33,3,28342,64013,1.512338524,4.927253685,28.16416184,42,1.5,1058006.8599999999,2389605.29,1814256446,96809.325936812,0.6666662222225186,10.252135365087474,11.066857088419516
333,"Wall St (2,3)",Manhattan,14290.07741,9.567390664,74.67,0,24734,52185,1.638297754,4.852030264,28.22737393,41,1.0,1846887.78,3896653.95,1290743790,85494.56829249,0.9999990000010001,10.115974523661809,10.862569538665166
334,"Clark St (2,3)",Brooklyn,4925.591618,8.502402673,75.33,0,13900,40013,2.029496202,3.784189634,11.77133933,15,1.0,1047087.0,3014179.29,556180700,81206.231530626,0.9999990000010001,9.539716058977092,10.596984671860362
620,"Borough Hall/Court St (2,3,4,5,R)",Brooklyn,22325.47859,10.01352863,37.0,0,15740,57365,2.034762207,3.784189634,11.74217086,16,1.5,582380.0,2122505.0,902925100,116724.134004555,0.6666662222225186,9.664024052354822,10.957207072313501
336,"Hoyt St (2,3)",Brooklyn,5683.629052,8.645521154,74.0,0,14851,56519,2.023403793,3.850147602,11.90101022,16,1.0,1098974.0,4182406.0,839363669,114360.758976567,0.9999990000010001,9.60588981529697,10.942349836798464
337,"Nevins St (2,3,4,5)",Brooklyn,7209.72061,8.883324171,139.33,0,13446,55511,1.986217467,4.304065093,10.37827444,16,0.5,1873431.1800000002,7734347.630000001,746400906,110256.917810637,1.999996000008,9.50651131182387,10.924354492579385
617,"Atlantic Av-Barclays Ctr (2,3,4,5,B,D,N,Q,R)",Brooklyn,31195.54669,10.34806268,107.33,1,8062,51780,2.106024532,4.234106505,8.477844736,16,0.5,865294.46,5557547.4,417450360,109049.95026696,1.999996000008,8.995040974685022,10.854778565594904
339,"Bergen St (2,3)",Brooklyn,3323.814647,8.109169206,78.67,0,4499,54400,1.893451176,4.262679877,7.192464616,18,1.0,353936.33,4279648.0,244745600,103003.7439744,0.9999990000010001,8.411832675758411,10.904137815028022
340,"Grand Army Plaza (2,3)",Brooklyn,5363.439042,8.587547091,78.33,0,3917,54006,1.909906153,3.258096538,6.541431968,15,1.0,306818.61,4230289.9799999995,211541502,103146.391698918,0.9999990000010001,8.273336598504486,10.896868946774847
341,"Eastern Pkwy-Brooklyn Museum (2,3)",Brooklyn,3380.917755,8.126198211,78.33,0,1879,48734,1.848232126,2.890371758,4.959475465,15,1.0,147182.07,3817334.2199999997,91571186,90071.744428484,0.9999990000010001,7.539027055823995,10.794152736771311
626,"Franklin Av-Medgar Evers College/Botanic Garden (2,3,4,5,S)",Brooklyn,10738.78078,9.281709956,36.0,4,1726,59270,1.922099661,3.044522438,4.638729934,13,1.0,62136.0,2133720.0,102300020,113922.84690747,0.9999990000010001,7.454141078146678,10.989875426581515
353,"President St-Medgar Evers College (2,5)",Brooklyn,2549.272799,7.843955612,56.0,0,2231,66047,1.717222038,2.772588722,7.464368397,15,1.0,124936.0,3698632.0,147350857,113417.36394378601,0.9999990000010001,7.710653323501202,11.09813702940118
354,"Sterling St (2,5)",Brooklyn,4067.635704,8.311063014,56.0,0,2893,60810,1.693133113,2.772588722,8.467759498,12,1.0,162008.0,3405360.0,175923330,102959.42460153,0.9999990000010001,7.970394907191429,11.01552597264265
355,"Winthrop St (2,5)",Brooklyn,5575.986393,8.626403837,57.0,0,12241,61284,1.783462724,2.397895273,7.345964424,11,1.0,697737.0,3493188.0,750177444,109297.729577616,0.9999990000010001,9.412627941411015,11.023290393775266
356,"Church Av (2,5)",Brooklyn,6251.356797,8.740713759,57.0,0,5450,55833,2.080210391,2.079441542,6.243706393,14,1.0,310650.0,3182481.0,304289850,116144.386760703,0.9999990000010001,8.603554357064281,10.930138281806371
357,"Beverly Rd (2,5)",Brooklyn,3159.675798,8.058541144,56.33,0,2566,52771,1.908368555,1.791759469,5.445701189,15,1.0,144542.78,2972590.4299999997,135410386,100706.517015905,0.9999990000010001,7.8504931808711405,10.873736026003668
358,"Newkirk Av-Little Haiti (2,5)",Brooklyn,4822.976234,8.481353812,56.33,0,2142,60176,1.482675414,1.609437912,4.348959075,16,1.0,120658.86,3389714.08,128896992,89221.475712864,0.9999990000010001,7.669961995473577,11.005045498492807
359,"Flatbush Av-Brooklyn College (2,5)",Brooklyn,13072.46825,9.478340131,56.0,0,4608,49259,1.49641511,1.609437912,5.034624628,17,1.5,258048.0,2758504.0,226985472,73711.91190349,0.6666662222225186,8.435766192720509,10.804867671674529
343,Nostrand Av (3),Brooklyn,2555.378628,7.846346938,39.0,0,2227,65964,1.756344334,2.63905733,6.649039831,14,1.0,86853.0,2572596.0,146901828,115855.497647976,0.9999990000010001,7.708859601047175,11.096879577317877
344,Kingston Av (3),Brooklyn,3181.817489,8.065522086,39.0,0,2996,66428,1.698246359,2.397895273,9.424574122,16,1.5,116844.0,2590692.0,199018288,112811.109135652,0.6666662222225186,8.005367067316664,11.103888987106272
345,"Crown Hts-Utica Av (3,4)",Brooklyn,16975.37996,9.739578243,83.0,0,4257,67710,1.783960074,1.386294361,7.567323424,15,1.0,353331.0,5619930.0,288241470,120791.93661054,0.9999990000010001,8.356554845453426,11.12300392723786
346,Sutter Av-Rutland Rd (3),Brooklyn,4210.435414,8.345558822,40.33,0,4304,56439,1.697919217,1.386294361,6.261262885,13,1.5,173580.32,2276184.87,242913456,95828.86268826299,0.6666662222225186,8.367532416861831,10.940933405966751
347,Saratoga Av (3),Brooklyn,3154.713836,8.056970005,40.0,0,2843,49275,1.856215003,0.693147181,6.394887938,13,1.5,113720.0,1971000.0,140088825,91464.994272825,0.6666662222225186,7.952966790923131,10.805192426081865
348,Rockaway Av (3),Brooklyn,2940.906023,7.986812957,40.33,0,2156,40888,2.001428084,1.609437912,6.981503623,11,1.5,86951.48,1649013.04,88154528,81834.391498592,0.6666662222225186,7.676473646389156,10.61861635720246
349,Junius St (3),Brooklyn,1625.164006,7.39397915,39.67,0,1040,41332,1.95452427,1.386294361,5.477471771,12,1.5,41256.8,1639640.4400000002,42985280,80784.39712764,0.6666662222225186,6.947937068614969,10.629416491370417
350,Pennsylvania Av (3),Brooklyn,2721.089381,7.909155019,39.67,0,1933,41920,1.946761073,1.098612289,4.424340246,16,1.5,76682.11,1662966.4000000001,81031360,81608.22418016,0.6666662222225186,7.56734567601324,10.64354217367223
351,Van Siclen Av (3),Brooklyn,1624.314344,7.393456519,39.67,0,1207,46375,1.635252754,1.386294361,4.325298296,10,1.5,47881.69,1839696.25,55974625,75834.84646675,0.6666662222225186,7.0967213784947605,10.74453736301957
352,New Lots Av (3),Brooklyn,3646.56888,8.201816164,40.0,0,3036,44713,1.445706176,1.609437912,4.285535917,10,1.5,121440.0,1788520.0,135748668,64641.860247488,0.6666662222225186,8.01862546504575,10.708041930670204
436,Harlem-148 St (3),Manhattan,2240.882862,7.715071355,34.0,0,473,68199,2.174889835,2.708050201,5.596851115,12,2.0,16082.0,2318766.0,32258127,148325.311857165,0.499999750000125,6.161207321695077,11.130199843831553
437,145 St (3),Manhattan,2004.105769,7.603452091,34.33,0,2718,64267,2.055813137,3.091042453,7.27196039,25,1.5,93308.94,2206286.11,174677706,132120.942875579,0.6666662222225186,7.908019444632471,11.070817119163225
378,Woodlawn (4),Bronx,4368.079584,8.382307644,41.33,0,5064,19828,0.693600634,1.098612289,11.49820067,11,1.5,209295.12,819491.24,100408992,13752.713370952,0.6666662222225186,8.530109416682784,9.894900791598806
379,Mosholu Pkwy (4),Bronx,5111.977746,8.539537243,41.33,0,5991,45715,2.092947217,2.397895273,8.496939538,16,1.5,247608.03,1889400.95,273878565,95679.08202515499,0.6666662222225186,8.698180525197056,10.730203625017488
380,Bedford Park Blvd-Lehman College (4),Bronx,3683.697992,8.211943845,41.67,0,1662,63587,1.774461782,2.397895273,6.919429728,19,1.25,69255.54000000001,2649670.29,105681594,112832.70133203399,0.7999993600005121,7.416378479192928,11.060180052280762
381,Kingsbridge Rd (4),Bronx,5749.886551,8.657109305,42.33,0,4145,95491,1.963344809,2.302585093,7.420152198,20,1.5,175457.85,4042134.03,395810195,187481.75915621902,0.6666662222225186,8.329899292995725,11.466797753326443
382,Fordham Rd (4),Bronx,6240.195573,8.738927041,42.67,0,4613,100796,1.990690094,2.079441542,9.813687337,22,1.5,196836.71000000002,4300965.32,464971948,200653.598714824,0.6666662222225186,8.4368504387337,11.520863872271748
383,183 St (4),Bronx,3475.493832,8.153779545,43.0,0,3049,103609,1.981342092,1.791759469,8.209237299,19,1.5,131107.0,4455187.0,315903841,205284.872810028,0.6666662222225186,8.022896869601457,11.548389129245798
384,Burnside Av (4),Bronx,6012.663945,8.701789483,43.0,0,3053,101830,1.99861164,2.079441542,7.474191055,15,1.5,131279.0,4378690.0,310886990,203518.62330120002,0.6666662222225186,8.024207485778577,11.531069855406209
385,176 St (4),Bronx,3295.020864,8.100471221,43.67,0,2635,97357,2.084467121,1.609437912,7.882520888,16,1.5,115070.45000000001,4251580.19,256535695,202937.465499197,0.6666662222225186,7.877017895622398,11.486150185133239
386,Mt Eden Av (4),Bronx,3081.630201,8.033538473,43.0,0,2755,97118,2.10712115,0.693147181,8.538709969,16,1.5,118465.0,4176074.0,267560090,204639.3918457,0.6666662222225186,7.9215356321335495,11.483692309699952
387,170 St (4),Bronx,4496.430576,8.41126153,43.0,0,2711,100649,2.065993428,1.609437912,8.182542308,17,1.5,116573.0,4327907.0,272859439,207940.17253477202,0.6666662222225186,7.905441649060286,11.519404431067937
388,167 St (4),Bronx,5606.061139,8.631782,43.33,0,3964,101475,2.047639134,2.079441542,8.810103421,16,1.5,171760.12,4396911.75,402246900,207784.18112265,0.6666662222225186,8.285261134068948,11.527577596302542
604,"161 St-Yankee Stadium (4,B,D)",Bronx,17504.653,9.770279136,42.67,2,5188,58474,2.172833531,1.791759469,8.287133731,19,1.5,221371.96000000002,2495085.58,303363112,127054.267891694,0.6666662222225186,8.55429627936774,10.97635459145238
391,"138 St-Grand Concourse (4,5)",Bronx,2618.438921,7.870715422,70.67,0,5552,41931,2.030236576,2.708050201,10.69524779,18,1.0,392359.84,2963263.77,232800912,85129.849868256,0.9999990000010001,8.622093601241607,10.643804537572464
413,"Wall St (4,5)",Manhattan,12426.29082,9.427650206,83.67,1,25503,55117,1.584442073,4.812184355,27.92283983,41,1.0,2133836.0100000002,4611639.39,1405648851,87329.69373754099,0.9999990000010001,10.146590581589942,10.917231620558995
414,"Bowling Green (4,5)",Manhattan,17565.86333,9.773769641,83.0,1,21567,38514,1.597350393,4.564348191,28.23518882,41,1.0,1790061.0,3196662.0,830631438,61520.353036001994,0.9999990000010001,9.978966013712034,10.558803054787067
442,Eastchester-Dyre Av (5),Bronx,2699.211962,7.901085553,32.33,0,5043,14841,2.21205105,1.098612289,2.799835862,10,1.5,163040.19,479809.52999999997,74843163,32829.049633049995,0.6666662222225186,8.52595469708481,9.60521627853008
443,Baychester Av (5),Bronx,1888.283986,7.543953193,32.67,0,3849,35707,1.848498411,1.098612289,8.741382641,14,2.0,125746.83,1166547.6900000002,137436243,66004.332761577,0.499999750000125,8.25582842728183,10.483130032299252
444,Gun Hill Rd (5),Bronx,3085.45156,8.034777348,32.67,0,4845,32456,1.37758833,0.693147181,3.851735496,13,2.0,158286.15,1060337.52,157249320,44711.00683848,0.499999750000125,8.48590890137647,10.387671415355683
