station_complex_id,station_complex_name,borough,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,log_pct_walked_access_network,log_bus_routes_access_network
340,"Grand Army Plaza (2,3)",Brooklyn,8.587547091,78.33,0,0.999999000001,8.273336598504486,10.896868946774848,1.909906153,3.258096538,6.541431968,2.020412080168441,2.772588722239781
341,"Eastern Pkwy-Brooklyn Museum (2,3)",Brooklyn,8.126198211,78.33,0,0.999999000001,7.539027055823995,10.794152736771313,1.848232126,2.890371758,4.959475465,1.784982467976031,2.772588722239781
626,"Franklin Av-Medgar Evers College/Botanic Garden (2,3,4,5,S)",Brooklyn,9.281709956,36.0,4,0.999999000001,7.454141078146678,10.989875426581516,1.922099661,3.044522438,4.638729934,1.7296588511440238,2.639057329615259
353,"President St-Medgar Evers College (2,5)",Brooklyn,7.843955612,56.0,0,0.999999000001,7.710653323501202,11.09813702940118,1.717222038,2.772588722,7.464368397,2.1358653993341576,2.772588722239781
354,"Sterling St (2,5)",Brooklyn,8.311063014,56.0,0,0.999999000001,7.970394907191429,11.01552597264265,1.693133113,2.772588722,8.467759498,2.2478922897659523,2.5649493574615367
355,"Winthrop St (2,5)",Brooklyn,8.626403837,57.0,0,0.999999000001,9.412627941411015,11.023290393775266,1.783462724,2.397895273,7.345964424,2.12177811951949,2.4849066497880004
356,"Church Av (2,5)",Brooklyn,8.740713759,57.0,0,0.999999000001,8.603554357064281,10.930138281806371,2.080210391,2.079441542,6.243706393,1.9801330081395736,2.70805020110221
357,"Beverly Rd (2,5)",Brooklyn,8.058541144,56.33,0,0.999999000001,7.85049318087114,10.873736026003668,1.908368555,1.791759469,5.445701189,1.8634134262840216,2.772588722239781
358,"Newkirk Av-Little Haiti (2,5)",Brooklyn,8.481353812,56.33,0,0.999999000001,7.669961995473577,11.005045498492809,1.482675414,1.609437912,4.348959075,1.6769019765570474,2.833213344056216
359,"Flatbush Av-Brooklyn College (2,5)",Brooklyn,9.478340131,56.0,0,0.6666662222225186,8.435766192720509,10.804867671674527,1.49641511,1.609437912,5.034624628,1.7975136534435467,2.8903717578961645
343,Nostrand Av (3),Brooklyn,7.846346938,39.0,0,0.999999000001,7.708859601047175,11.096879577317877,1.756344334,2.63905733,6.649039831,2.034580127673536,2.70805020110221
