station_complex_id,station_complex_name,borough,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag
359,"Flatbush Av-Brooklyn College (2,5)",Brooklyn,9.478340131,56,0,0.666666222,8.435766193,10.80486767,1.49641511,1.609437912,1.797513653,2.890371758,43,44,2,3.784189634,0
343,Nostrand Av (3),Brooklyn,7.846346938,39,0,0.999999,7.708859601,11.09687958,1.756344334,2.63905733,2.034580128,2.708050201,31.5,31.75,2,3.481240089,0
344,Kingston Av (3),Brooklyn,8.065522086,39,0,0.666666222,8.005367067,11.10388899,1.698246359,2.397895273,2.344165915,2.833213344,33.5,33.88,2,3.540959324,0
345,"Crown Hts-Utica Av (3,4)",Brooklyn,9.739578243,83,0,0.999999,8.356554845,11.12300393,1.783960074,1.386294361,2.147955365,2.772588722,32.75,34.5,4,3.518980417,0
346,Sutter Av-Rutland Rd (3),Brooklyn,8.345558822,40.33,0,0.666666222,8.367532417,10.94093341,1.697919217,1.386294361,1.982553765,2.63905733,33.5,37.75,4,3.540959324,0
347,Saratoga Av (3),Brooklyn,8.056970005,40,0,0.666666222,7.952966791,10.80519243,1.856215003,0.693147181,2.000788942,2.63905733,35.5,39.75,4,3.597312261,0
348,Rockaway Av (3),Brooklyn,7.986812957,40.33,0,0.666666222,7.676473646,10.61861636,2.001428084,1.609437912,2.077126818,2.48490665,37,41.25,4,3.63758616,0
349,Junius St (3),Brooklyn,7.39397915,39.67,0,0.666666222,6.947937069,10.62941649,1.95452427,1.386294361,1.868330275,2.564949357,38.5,42.75,4,3.676300672,0
350,Pennsylvania Av (3),Brooklyn,7.909155019,39.67,0,0.666666222,7.567345676,10.64354217,1.946761073,1.098612289,1.690896278,2.833213344,40,44.25,4,3.713572067,0
351,Van Siclen Av (3),Brooklyn,7.393456519,39.67,0,0.666666222,7.096721378,10.74453736,1.635252754,1.386294361,1.672468728,2.397895273,41.5,45.75,4,3.749504076,0
352,New Lots Av (3),Brooklyn,8.201816164,40,0,0.666666222,8.018625465,10.70804193,1.445706176,1.609437912,1.664974018,2.397895273,43,47.25,4,3.784189634,0
436,Harlem-148 St (3),Manhattan,7.715071355,34,0,0.49999975,6.161207322,11.13019984,2.174889835,2.708050201,1.886592431,2.564949357,21.5,21.5,1,3.113515309,0
437,145 St (3),Manhattan,7.603452091,34.33,0,0.666666222,7.908019445,11.07081712,2.055813137,3.091042453,2.112871529,3.258096538,19,19,1,2.995732274,0
378,Woodlawn (4),Bronx,8.382307644,41.33,0,0.666666222,8.530109417,9.894900792,0.693600634,1.098612289,2.525584688,2.48490665,44.25,44.25,1,3.81220267,0
379,Mosholu Pkwy (4),Bronx,8.539537243,41.33,0,0.666666222,8.698180525,10.73020363,2.092947217,2.397895273,2.250969593,2.833213344,42,42,1,3.761200116,0
380,Bedford Park Blvd-Lehman College (4),Bronx,8.211943845,41.67,0,0.79999936,7.416378479,11.06018005,1.774461782,2.397895273,2.069319199,2.995732274,39.75,39.75,1,3.70745584,0
381,Kingsbridge Rd (4),Bronx,8.657109305,42.33,0,0.666666222,8.329899293,11.46679775,1.963344809,2.302585093,2.130627904,3.044522438,37.75,37.75,1,3.657130756,0
382,Fordham Rd (4),Bronx,8.738927041,42.67,0,0.666666222,8.436850439,11.52086387,1.990690094,2.079441542,2.380812678,3.135494216,36.25,36.25,1,3.617651945,0
383,183 St (4),Bronx,8.153779545,43,0,0.666666222,8.02289687,11.54838913,1.981342092,1.791759469,2.220207035,2.995732274,34.75,34.75,1,3.576550269,0
